Contrast,A,B,mean(A),std(A),mean(B),std(B),Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,hedges,sig,effect_interpretation
model_name,PCReg_GCV,PCReg_LogMSE_CV,0.12199847651735,0.4799527545198226,0.1525121502281473,0.6452953813711665,True,True,-5.739221842031312,6074.0,two-sided,9.970612176953118e-09,3.1905958966249977e-07,holm,1.951e+05,-0.053655079785392815,***,negligible (favors_second)
model_name,PCReg_GCV,PCReg_MSE,0.12199847651735,0.4799527545198226,0.10616379836432192,0.33283960335162477,True,True,3.609692551610951,6074.0,two-sided,0.0003090299794459722,0.005871569609473472,holm,9.674,0.03833832264994292,**,negligible (favors_first)
model_name,PCReg_GCV,PCReg_MSE_CV,0.12199847651735,0.4799527545198226,0.19940858515800206,0.68797115270724,True,True,-13.142672593263036,6074.0,two-sided,6.345358840236008e-39,3.870668892543965e-37,holm,1.34e+35,-0.1304982691965414,***,negligible (favors_second)
model_name,PCReg_GCV,Ridge,0.12199847651735,0.4799527545198226,0.15798748535884638,1.0643719388877546,True,True,-2.6874597205343935,6074.0,two-sided,0.007219397574043022,0.09385216846255928,holm,0.534,-0.043588462241346625,,negligible (favors_second)
model_name,PCReg_LogMSE,PCReg_LogMSE_CV,0.08620871948057858,0.2887755072328092,0.1525121502281473,0.6452953813711665,True,True,-10.580255045210068,6074.0,two-sided,6.180478012545725e-26,3.646482027401978e-24,holm,1.72e+22,-0.13262554400394586,***,negligible (favors_second)
model_name,PCReg_LogMSE,PCReg_MSE,0.08620871948057858,0.2887755072328092,0.10616379836432192,0.33283960335162477,True,True,-10.537354930848322,6074.0,two-sided,9.680610709995389e-26,5.614754211797326e-24,holm,1.102e+22,-0.0640393121732772,***,negligible (favors_second)
model_name,PCReg_LogMSE,PCReg_MSE_CV,0.08620871948057858,0.2887755072328092,0.19940858515800206,0.68797115270724,True,True,-15.882820324788556,6074.0,two-sided,1.0881168155032904e-55,7.181570982321716e-54,holm,6.401e+51,-0.21454836075243036,***,small (favors_second)
model_name,PCReg_LogMSE,Ridge,0.08620871948057858,0.2887755072328092,0.15798748535884638,1.0643719388877546,True,True,-5.668315082214896,6074.0,two-sided,1.5083794277198806e-08,4.67597622593163e-07,holm,1.305e+05,-0.09203808656269889,***,negligible (favors_second)
model_name,PCReg_LogMSE_CV,PCReg_MSE,0.1525121502281473,0.6452953813711665,0.10616379836432192,0.33283960335162477,True,True,7.2077598537900265,6074.0,two-sided,6.379162378862883e-13,2.5516649515451534e-11,holm,2.445e+09,0.09026919816303904,***,negligible (favors_first)
model_name,PCReg_LogMSE_CV,PCReg_MSE_CV,0.1525121502281473,0.6452953813711665,0.19940858515800206,0.68797115270724,True,True,-7.964400414784374,6074.0,two-sided,1.9671773651546174e-15,8.852298143195778e-14,holm,7.186e+11,-0.07030782615467987,***,negligible (favors_second)
model_name,PCReg_LogMSE_CV,Ridge,0.1525121502281473,0.6452953813711665,0.15798748535884638,1.0643719388877546,True,True,-0.41488365241963987,6074.0,two-sided,0.6782417304032478,1.0,holm,0.016,-0.006220596119846667,,negligible (favors_second)
model_name,PCReg_MSE,PCReg_MSE_CV,0.10616379836432192,0.33283960335162477,0.19940858515800206,0.68797115270724,True,True,-14.099247718072265,6074.0,two-sided,1.9162576098549628e-44,1.188079718110077e-42,holm,4.123e+40,-0.17253378767315614,***,negligible (favors_second)
model_name,PCReg_MSE,Ridge,0.10616379836432192,0.33283960335162477,0.15798748535884638,1.0643719388877546,True,True,-4.0786058260246625,6074.0,two-sided,4.588605135513291e-05,0.0012389233865885885,holm,58.364,-0.06571491380505713,**,negligible (favors_second)
model_name,PCReg_MSE_CV,Ridge,0.19940858515800206,0.68797115270724,0.15798748535884638,1.0643719388877546,True,True,2.9231596471970613,6074.0,two-sided,0.003477780248339599,0.05446127376039385,holm,1.032,0.04621799377458759,,negligible (favors_first)
